Alpha Omicron Pi Corporations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:06 PM
Profit & Loss by Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/05/2017
July 2016 through April 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accrual Basis
,,,,,Alpha,Alpha Chi,Alpha Delta,Alpha Epsilon,Alpha Gamma,Alpha Lambda,Alpha Mu,Alpha Nu,Alpha Phi,Alpha Pi,Alpha Psi,Alpha Rho,Alpha Theta,Beta Chi,Beta Eta,Beta Gamma,Beta Nu,Beta Phi,Beta Sigma,Beta Upsilon,Beta Zeta,Chi Epsilon,Chi Lambda,Chi Phi,Chi Psi,Chi Theta,Delta,Delta Beta,Delta Delta,Delta Epsilon,Delta Gamma,Delta Kappa,Delta Lambda,Delta Nu,Delta Omega,Delta Pi,Delta Rho,Delta Sigma,Delta Tau,Delta Theta,Delta Xi,Epsilon Alpha,Epsilon Chi,Epsilon Gamma,Epsilon Omega,Epsilon Sigma,Gamma,Gamma Alpha,Gamma Delta,Gamma Omicron,Gamma Phi,Gamma Sigma,Gamma Theta,Iota,Iota Sigma,Iota Theta,Kappa Alpha,Kappa Chi,Kappa Delta,Kappa Gamma,Kappa Kappa,Kappa Omega,Kappa Omicron,Kappa Rho,Kappa Sigma,Kappa Tau,Lambda Alpha,Lambda Beta,Lambda Chi,Lambda Delta,Lambda Eta,Lambda Iota,Lambda Lambda,Lambda Omicron,Lambda Rho,Lambda Sigma,Lambda Tau,Lambda Upsilon,Mu Lambda,Nu Beta,Nu Omega,Nu Omicron,Omega,Omega Sigma,Omega Upsilon,Omicron,Omicron Pi,Phi Alpha,Phi Beta,Phi Chi,Phi Delta,Phi Gamma,Phi Lambda,Phi Sigma,Phi Upsilon,Pi Alpha,Pi Delta,Pi Omicron,Pi Theta,Rho Beta,Rho Delta,Rho Omicron,Sigma Alpha,Sigma Beta,Sigma Chi,Sigma Delta,Sigma Gamma,Sigma Omicron,Sigma Phi,Sigma Rho,Sigma Tau,Sigma Theta,Tau Delta,Tau Gamma,Tau Lambda,Tau Mu,Tau Omega,Tau Omicron,Theta Beta,Theta Chi,Theta Iota,Theta Omega,Theta Pi,Theta Psi,Theta Sigma,Upsilon,Upsilon Beta,Upsilon Lambda,Xi,Xi Omicron,Xi Rho,Zeta,Zeta Pi,Zeta Psi,Zeta Theta,ZZ - Delta Psi,ZZ - Sigma,ZZ - Tau (TN),Unclassified,TOTAL
,,Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CONTRACT FEES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Contract Deposit,0,0,0,0,0,0,0,0,721,0,0,0,0,0,0,400,0,-500,0,0,0,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250,0,0,0,0,0,0,0,0,0,0,0,-500,0,0,0,0,1250,0,0,0,0,0,0,-2500,0,0,0,0,0,500,0,0,0,0,0,0,0,250,0,0,0,-500,0,0,0,1500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,-500,0,0,0,0,0,0,0,0,-500,0,0,0,0,0,0,0,0,0,0,0,6166.79,0,0,-500,0,0,0,0,400,-250,0,0,0,0,8187.79
,,,Total CONTRACT FEES,,0,0,0,0,0,0,0,0,721,0,0,0,0,0,0,400,0,-500,0,0,0,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250,0,0,0,0,0,0,0,0,0,0,0,-500,0,0,0,0,1250,0,0,0,0,0,0,-2500,0,0,0,0,0,500,0,0,0,0,0,0,0,250,0,0,0,-500,0,0,0,1500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,-500,0,0,0,0,0,0,0,0,-500,0,0,0,0,0,0,0,0,0,0,0,6166.79,0,0,-500,0,0,0,0,400,-250,0,0,0,0,8187.79
,,,DEVELOPMENT FEES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Development Fees,0,36922.05,1511851.78,4840,36167.29,158518.17,10876.8,7421.15,34761.67,561642.5,9237.6,74360.19,3472.5,2850,7600,99150,44870,55700.4,15840,12406.11,21833.33,42784.47,9772.12,4425,67905.73,6850,11213.61,38059.55,27500,9200,69383.86,31415,4195.82,92880.8,14478.21,12870,7732.84,134818.32,11908.86,28132.82,4333.2,15975,11062.2,17208.3,9750,2587.5,7050,11362.5,21955.5,469429.59,10200,11615.57,42235.49,125477.43,85843.5,9651.21,12977.91,25437.67,4770,4750,26613.76,147756.66,59742,28434.22,1739.75,9750,4750,36799.44,11450.17,6444.74,57830.3,12983.78,8418.38,2860.48,46872.55,291077.1,28850,138431.25,12331.91,854979,10296.25,46070.71,21355.94,252642.71,60160.54,163284.95,61266.34,10432,4125,14000,6350,61116,7585.4,9956,111716.64,23616.58,44071.84,14325.96,19940.8,11723.82,28287.5,40134.3,53868.52,5652.5,16592.47,4275,11850,80059.89,36001.11,5186.05,4418.75,12098.66,8016.25,21855.05,5033.7,136048.94,6980.9,46915,7126.25,1300,16855.59,15123.5,5728.64,20906.61,3689.98,34420.02,7729.87,7968.5,211726.54,354645.65,14621.55,94841.5,12150,106094.55,26889.3,0,0,0,0,8446766.73
,,,Total DEVELOPMENT FEES,,0,36922.05,1511851.78,4840,36167.29,158518.17,10876.8,7421.15,34761.67,561642.5,9237.6,74360.19,3472.5,2850,7600,99150,44870,55700.4,15840,12406.11,21833.33,42784.47,9772.12,4425,67905.73,6850,11213.61,38059.55,27500,9200,69383.86,31415,4195.82,92880.8,14478.21,12870,7732.84,134818.32,11908.86,28132.82,4333.2,15975,11062.2,17208.3,9750,2587.5,7050,11362.5,21955.5,469429.59,10200,11615.57,42235.49,125477.43,85843.5,9651.21,12977.91,25437.67,4770,4750,26613.76,147756.66,59742,28434.22,1739.75,9750,4750,36799.44,11450.17,6444.74,57830.3,12983.78,8418.38,2860.48,46872.55,291077.1,28850,138431.25,12331.91,854979,10296.25,46070.71,21355.94,252642.71,60160.54,163284.95,61266.34,10432,4125,14000,6350,61116,7585.4,9956,111716.64,23616.58,44071.84,14325.96,19940.8,11723.82,28287.5,40134.3,53868.52,5652.5,16592.47,4275,11850,80059.89,36001.11,5186.05,4418.75,12098.66,8016.25,21855.05,5033.7,136048.94,6980.9,46915,7126.25,1300,16855.59,15123.5,5728.64,20906.61,3689.98,34420.02,7729.87,7968.5,211726.54,354645.65,14621.55,94841.5,12150,106094.55,26889.3,0,0,0,0,8446766.73
,,,OTHER INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Building and Furnishing Fees,0,8006.25,72500,1450,15166.22,18791.67,0,0,8583.33,29799.11,4800,13040,525,1433.33,2700,17875,12583.95,11400,5100,400,10550,1866.72,3750,2100,31400,3400,600,5750,23240,5400,25442.5,12500,1800,13513.38,1750,4500,4000,3600,6200,3083.36,1000,5700,0,3033.3,3500,900,2200,8800,8000,23750,0,5999.74,9416.63,15210,6811.67,-200,3360,5675,800,1900,8600,15083.33,933.24,4425,300,4200,0,3700,1433.33,1800,6350,5600,11720.22,966.65,12250,26800,3800,1200,2683.18,55106.35,4666.66,4125,200,27675,11653.12,9150,21950,10995,0,4600,2299.99,8300,1000,2900,15983.36,3966.66,0,3799.98,4000,2700,7375,4116.65,4180,0,200,2000,8400,10600,9250,1600,0,5200,3600,-100,400,39505,2150,3300,260,0,0,3183.3,0,3600,1320.6,11300,2300,3300.02,28085.41,42500,4000,14220,5100,17250,599.94,0,0,0,0,1040168.15
,,,,Fundraising - other than Founda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244328
,,,,Interest Income,11.89,41.68,190.45,3.23,97.96,96.04,6.81,6.56,42.95,140.65,6.1,25.26,4.48,2.63,0,67.32,0,98.82,0,4.69,15.47,87.5,6.26,3.29,77.71,5.43,12.94,10.76,19.09,6.7,0,12.9,3.23,12.21,11.24,8.69,9.08,58.76,3.88,4.32,3.71,13.76,15.65,22.2,5.94,1.51,5.09,11.69,6.76,120.84,8.59,5.47,9.78,127.7,69.6,8.59,6.12,7.68,4.23,5.17,26.74,118.9,12.34,47.52,1.69,10.08,3.46,36.33,3.71,5.09,31.06,9.54,0,2.63,11.76,139.71,7.63,30.51,7.29,217.05,9.32,45.28,17.78,98.05,77.15,154,0,0,4.52,9.69,4.92,40.46,3.06,8.32,13.33,10.51,80.88,5.17,16.73,7.46,12.66,9,71.07,14.17,13.98,4.23,9.22,12.25,31.86,3.58,4.84,7.64,5.26,24.07,3.46,0,6.85,9.49,10.51,1.19,10.26,13.53,4.15,7.96,0,64.77,2.29,5.87,130.92,194.36,12.64,127.89,12.35,88.89,11.93,0,0,0,0,3949.87
,,,,Miscellaneous Income Corp Board,0,0,0,0,-125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-125
,,,,Other Income,0,0,0,0,575.11,2329.17,0,0,0,75725,0,0,0,0,0,3791.6,0,55066.66,0,0,0,14986.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,872.43,0,0,0,0,0,0,0,0,0,0,0,4921.47,0,0,0,4230.9,5232.74,0,0,0,0,0,0,3416.62,0,0,0,0,0,0,0,0,0,0,0,0,7300,0,0,3450.5,0,0,0,0,0,14845.48,19150,121035.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5736.47,0,0,0,0,0,0,0,0,0,0,2856.66,0,0,0,0,0,0,0,0,0,0,0,259392,0,0,11868.35,0,0,0,0,0,10410.65,0,0,1679.01,3803.9,632676.57
,,,Total OTHER INCOME,,11.89,8047.93,72690.45,1453.23,15714.29,21216.88,6.81,6.56,8626.28,105664.76,4806.1,13065.26,529.48,1435.96,2700,21733.92,12583.95,66565.48,5100,404.69,10565.47,16940.66,3756.26,2103.29,31477.71,3405.43,612.94,5760.76,23259.09,5406.7,25442.5,12512.9,1803.23,13525.59,1761.24,4508.69,4009.08,4531.19,6203.88,3087.68,1003.71,5713.76,15.65,3055.5,3505.94,901.51,2205.09,8811.69,8006.76,28792.31,8.59,6005.21,9426.41,19568.6,12114.01,-191.41,3366.12,5682.68,804.23,1905.17,8626.74,18618.85,945.58,4472.52,301.69,4210.08,3.46,3736.33,1437.04,1805.09,6381.06,5609.54,11720.22,969.28,19561.76,26939.71,3807.63,4681.01,2690.47,55323.4,4675.98,4170.28,217.78,42618.53,30880.27,130339.41,21950,10995,4.52,4609.69,2304.91,8340.46,1003.06,2908.32,15996.69,3977.17,80.88,3805.15,4016.73,2707.46,7387.66,4125.65,9987.54,14.17,213.98,2004.23,8409.22,10612.25,9281.86,1603.58,4.84,5207.64,3605.26,2780.73,403.46,39505,2156.85,247637.49,270.51,1.19,10.26,3196.83,4.15,3607.96,1320.6,270756.77,2302.29,3305.89,40084.68,42694.36,4012.64,14347.89,5112.35,17338.89,11022.52,0,0,1679.01,3803.9,1920997.59
,,,ROOM AND BOARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Room and Board,0,30681.74,344659.92,0,308396.68,37201.28,0,0,211581.5,336036,0,57096,0,0,0,224000,0,775521.66,0,0,0,238630.29,0,0,30801.6,0,0,0,0,0,0,0,0,0,0,0,0,309900,0,0,0,0,0,53865.3,0,0,0,0,0,302536.5,0,0,0,501876.46,347011.34,0,0,0,0,0,0,271107.32,0,214489.23,0,0,0,48912,0,0,125198.25,0,0,0,0,386397,0,65559.5,0,331839.68,0,48517.26,0,464545.73,408209.73,86011.33,0,0,0,0,0,12350,0,0,498604.5,0,389359.42,0,0,0,0,0,181512.68,0,147309.25,0,0,0,21653.82,0,0,0,0,44143.66,0,0,0,0,0,0,0,0,0,0,0,563068.96,0,0,357627,542100.78,0,294443.08,0,174213,68957.85,0,0,0,0,9855927.3
,,,Total ROOM AND BOARD,,0,30681.74,344659.92,0,308396.68,37201.28,0,0,211581.5,336036,0,57096,0,0,0,224000,0,775521.66,0,0,0,238630.29,0,0,30801.6,0,0,0,0,0,0,0,0,0,0,0,0,309900,0,0,0,0,0,53865.3,0,0,0,0,0,302536.5,0,0,0,501876.46,347011.34,0,0,0,0,0,0,271107.32,0,214489.23,0,0,0,48912,0,0,125198.25,0,0,0,0,386397,0,65559.5,0,331839.68,0,48517.26,0,464545.73,408209.73,86011.33,0,0,0,0,0,12350,0,0,498604.5,0,389359.42,0,0,0,0,0,181512.68,0,147309.25,0,0,0,21653.82,0,0,0,0,44143.66,0,0,0,0,0,0,0,0,0,0,0,563068.96,0,0,357627,542100.78,0,294443.08,0,174213,68957.85,0,0,0,0,9855927.3
,,Total Income,,,11.89,75651.72,1929202.15,6293.23,360278.26,216936.33,10883.61,7427.71,255690.45,1003343.26,14043.7,144521.45,4001.98,4285.96,10300,345283.92,57453.95,897287.54,20940,12810.8,32398.8,297855.42,13528.38,6528.29,130185.04,10255.43,11826.55,43820.31,50759.09,14606.7,94826.36,43927.9,5999.05,106406.39,16239.45,17378.69,11741.92,450499.51,18112.74,31220.5,5336.91,21688.76,11077.85,74129.1,13255.94,3489.01,9255.09,20174.19,29962.26,800258.4,10208.59,17620.78,51661.9,646922.49,446218.85,9459.8,16344.03,31120.35,5574.23,6655.17,35240.5,434982.83,60687.58,247395.97,2041.44,13960.08,4753.46,89947.77,12887.21,8249.83,189409.61,18593.32,20138.6,3829.76,66434.31,704663.81,32657.63,208671.76,15022.38,1241642.08,14972.23,98758.25,21573.72,761306.97,499750.54,379635.69,83216.34,21427,4129.52,18609.69,8654.91,81806.46,8588.46,12864.32,626317.83,27593.75,433512.14,18131.11,23957.53,14431.28,35675.16,44259.95,246868.74,5666.67,163615.7,6279.23,20259.22,90672.14,66936.79,6789.63,4423.59,17306.3,11621.51,68279.44,5437.16,175553.94,9137.75,294552.49,7396.76,1301.19,16865.85,18320.33,5732.79,24514.57,5010.58,874412.54,10032.16,11274.39,608938.22,939440.79,18634.19,403632.47,17262.35,298046.44,106619.67,0,0,1679.01,3803.9,20231879.41
,Gross Profit,,,,11.89,75651.72,1929202.15,6293.23,360278.26,216936.33,10883.61,7427.71,255690.45,1003343.26,14043.7,144521.45,4001.98,4285.96,10300,345283.92,57453.95,897287.54,20940,12810.8,32398.8,297855.42,13528.38,6528.29,130185.04,10255.43,11826.55,43820.31,50759.09,14606.7,94826.36,43927.9,5999.05,106406.39,16239.45,17378.69,11741.92,450499.51,18112.74,31220.5,5336.91,21688.76,11077.85,74129.1,13255.94,3489.01,9255.09,20174.19,29962.26,800258.4,10208.59,17620.78,51661.9,646922.49,446218.85,9459.8,16344.03,31120.35,5574.23,6655.17,35240.5,434982.83,60687.58,247395.97,2041.44,13960.08,4753.46,89947.77,12887.21,8249.83,189409.61,18593.32,20138.6,3829.76,66434.31,704663.81,32657.63,208671.76,15022.38,1241642.08,14972.23,98758.25,21573.72,761306.97,499750.54,379635.69,83216.34,21427,4129.52,18609.69,8654.91,81806.46,8588.46,12864.32,626317.83,27593.75,433512.14,18131.11,23957.53,14431.28,35675.16,44259.95,246868.74,5666.67,163615.7,6279.23,20259.22,90672.14,66936.79,6789.63,4423.59,17306.3,11621.51,68279.44,5437.16,175553.94,9137.75,294552.49,7396.76,1301.19,16865.85,18320.33,5732.79,24514.57,5010.58,874412.54,10032.16,11274.39,608938.22,939440.79,18634.19,403632.47,17262.35,298046.44,106619.67,0,0,1679.01,3803.9,20231879.41
,,Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ACCRA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ACCRA,3762,13340.25,54857.25,1014.75,31185,16200,2153.25,2054.25,13686.75,47643.75,1881,8316,1410.75,841.5,1845,21656.25,7551,20002.5,1125,1485,4851,26460,1980,1039.5,21051,1707.75,4083.75,3390.75,6014.25,1980,0,4083.75,1014.75,3510,3539.25,2747.25,2871,17640,1212.75,1361.25,1163.25,4356,4950,6583.5,1881,470.25,1608.75,3440.25,2128.5,40020.75,2722.5,1707.75,3093.75,33610.5,22695.75,2722.5,1930.5,2425.5,1336.5,1633.5,3390.75,38981.25,3885.75,15072.75,519.75,2499.75,1089,11088,1163.25,1620,9875.25,3019.5,0,816.75,3712.5,42682.5,2400.75,10135.17,2301.75,65835,2945.25,11493.54,5618.25,35862.75,25467.75,15505.92,20194.47,0,1361.25,3069,1559.25,17325,965.25,2623.5,27200.25,3316.5,27200.25,1633.5,5296.5,2351.25,4009.5,2846.25,23388.75,4479.75,2858.67,1336.5,2895.75,3861,9961.92,1138.5,1534.5,2425.5,1386,6843.42,1089,0,2153.25,2994.75,3316.5,371.25,3242.25,4257,1170,1930.5,3412.53,22002.75,717.75,1856.25,43312.5,64102.5,3984.75,24601.5,2648.25,14639.67,11174.67,0,0,0,0,1216052.73
