Alpha Omicron Pi Corporations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:06 PM
,,,Total ACCRA.,,3762,13340.25,54857.25,1014.75,31185,16200,2153.25,2054.25,13686.75,47643.75,1881,8316,1410.75,841.5,1845,21656.25,7551,20002.5,1125,1485,4851,26460,1980,1039.5,21051,1707.75,4083.75,3390.75,6014.25,1980,0,4083.75,1014.75,3510,3539.25,2747.25,2871,17640,1212.75,1361.25,1163.25,4356,4950,6583.5,1881,470.25,1608.75,3440.25,2128.5,40020.75,2722.5,1707.75,3093.75,33610.5,22695.75,2722.5,1930.5,2425.5,1336.5,1633.5,3390.75,38981.25,3885.75,15072.75,519.75,2499.75,1089,11088,1163.25,1620,9875.25,3019.5,0,816.75,3712.5,42682.5,2400.75,10135.17,2301.75,65835,2945.25,11493.54,5618.25,35862.75,25467.75,15505.92,20194.47,0,1361.25,3069,1559.25,17325,965.25,2623.5,27200.25,3316.5,27200.25,1633.5,5296.5,2351.25,4009.5,2846.25,23388.75,4479.75,2858.67,1336.5,2895.75,3861,9961.92,1138.5,1534.5,2425.5,1386,6843.42,1089,0,2153.25,2994.75,3316.5,371.25,3242.25,4257,1170,1930.5,3412.53,22002.75,717.75,1856.25,43312.5,64102.5,3984.75,24601.5,2648.25,14639.67,11174.67,0,0,0,0,1216052.73
,,,Bank fees,,88.43,298.61,1335.05,23.97,680.8,707.34,50.75,48.42,298.85,1040.17,44.21,186.2,33.28,19.8,0,472.73,0,726.18,0,34.91,114.05,635.41,46.54,24.45,471.33,40.26,96.14,79.83,141.51,46.54,0,96.14,23.97,90.78,83.33,64.72,67.5,423.6,28.62,32.11,27.47,102.41,116.38,147.32,44.21,11.19,37.94,81,50.06,873.74,64,40.26,72.85,733.86,495.54,64,45.39,57.03,31.44,38.41,79.83,850.94,91.47,329.11,12.34,58.88,25.6,248.34,27.47,37.94,221.11,70.97,0,19.33,87.28,1025.05,56.55,226.94,54.23,1581.09,69.36,289.07,132.19,711.06,556.06,718.73,0,0,32.11,72.15,36.78,300.73,22.82,61.68,91.47,77.98,593.76,38.41,124.54,55.39,94.28,67.03,510.66,105.44,100.49,31.44,68.19,90.78,222.98,26.78,36.07,57.03,32.6,153.16,25.6,0,50.75,70.54,77.98,8.86,76.36,100.09,30.95,45.39,0,480.39,16.99,43.77,937.99,1399.34,93.81,537.18,62.38,639.13,75.18,0,0,0,0,27289.4
,,,CLEANING.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Annual Cleaning,0,1617.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4049.39,0,0,0,6125.14,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,3825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,2291.69,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7940.32,0,0,0,0,8506.5,5801.74,0,0,0,0,0,1400,0,0,4050,0,795,0,0,0,0,4034,905,0,2930.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6321,0,0,6050,0,0,6918.07,0,0,0,0,0,0,0,79360.68
,,,,Cleaning Service,0,0,33584.14,0,47925,4750,0,0,13675,2794.7,0,9275,0,0,0,15925.63,0,31620.16,0,0,0,14611.97,160,0,4850,0,0,1336.36,1600,0,0,0,0,0,0,0,0,14950,0,0,0,422.3,0,3254,0,0,0,0,827.7,3235,0,0,0,2156.26,18283.06,0,0,180,0,0,330,8910,650,4400,0,0,0,770,0,0,6075,0,0,0,337.5,29039,0,0,0,68.24,0,7740,146,15476.85,11985.07,13855.54,13350,0,0,0,0,8200,0,0,19520,0,14428.62,0,0,0,0,0,10593.12,0,0,0,0,0,1430,0,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,13226,0,0,22050,33047.46,0,20467.68,0,8225,9992,0,0,0,0,500027.36
,,,,Cleaning Supplies - Cleaners,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2102.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130,0,20,0,0,0,0,0,0,0,3713.59
,,,Total CLEANING.,,0,1617.14,33584.14,0,47925,4750,0,0,13675,2794.7,0,9275,0,0,0,15925.63,0,35669.55,0,0,0,20737.11,160,0,4850,0,0,1336.36,1900,0,0,0,0,0,0,0,0,20877.34,0,0,0,422.3,0,3254,0,0,0,0,827.7,3235,0,0,0,5656.26,20574.75,0,0,180,0,0,330,10910,650,4400,0,0,0,770,0,0,6075,0,0,0,337.5,29039,0,0,0,8008.56,0,7740,146,15938.1,20491.57,19657.28,13350,0,0,0,0,9600,0,0,23570,0,15223.62,0,0,0,0,4034,11498.12,0,2930.69,0,0,0,1430,0,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,19547,0,0,28100,34177.46,0,27405.75,0,8225,9992,0,0,0,0,583101.63
,,,CONVENTION/LI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Convention/LI Expenditures,0,0,0,0,695,0,0,0,0,0,0,0,0,0,0,0,515.1,0,0,0,0,0,0,0,0,0,530.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.08,0,0,0,0,0,0,0,0,0,-465.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.97,0,0,0,0,0,0,0,0,0,0,0,0,355,0,0,0,0,0,-665,0,0,0,0,0,0,0,0,-521.2,0,0,0,0,1183.17
,,,Total CONVENTION/LI,,0,0,0,0,695,0,0,0,0,0,0,0,0,0,0,0,515.1,0,0,0,0,0,0,0,0,0,530.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.08,0,0,0,0,0,0,0,0,0,-465.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.97,0,0,0,0,0,0,0,0,0,0,0,0,355,0,0,0,0,0,-665,0,0,0,0,0,0,0,0,-521.2,0,0,0,0,1183.17
,,,DEPRECIATION(EXP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Depreciation & Amortization Exp,432,3779.03,83220.65,0,30181.53,8729.87,32.77,0,65218.52,42175.85,3018.49,21447.64,1113.52,0,0,14116.77,0,34988.94,0,0,0,26085.38,3262.5,0,7779.73,407.47,291,7422.32,19798.99,627.46,4687.5,1131,0,0,0,267.81,40.93,5699.12,4890.33,531.53,0,1366.04,4078.8,2010.58,50.47,0,0,0,4489.31,74944.48,0,932.15,4327.46,15750.17,13347.61,0,554.57,1037.69,0,428.57,0,2537.6,5712.74,858.56,0,2818.27,0,0,260.45,0,10245.73,0,0,121.07,7173.89,48439.37,0,3821.67,717,103833.13,0,29636.14,309.45,51278.6,5744.48,3587.63,0,0,0,76.07,0,3914.16,61.07,550.22,4935.62,122.25,8412.2,1320.22,0,268.5,8104.37,6490.59,1952.63,159.8,4948.24,0,406.72,5039.9,13893.44,0,309.49,0,2883.62,2575.72,0,1968.5,845.69,20533.84,309.11,42,43.5,1773.3,0,85.38,0,17327.77,0,0,28677.71,52262.27,0,46226.54,24.54,3655.63,6398.68,270,0,0,0,1038661.62
,,,Total DEPRECIATION(EXP),,432,3779.03,83220.65,0,30181.53,8729.87,32.77,0,65218.52,42175.85,3018.49,21447.64,1113.52,0,0,14116.77,0,34988.94,0,0,0,26085.38,3262.5,0,7779.73,407.47,291,7422.32,19798.99,627.46,4687.5,1131,0,0,0,267.81,40.93,5699.12,4890.33,531.53,0,1366.04,4078.8,2010.58,50.47,0,0,0,4489.31,74944.48,0,932.15,4327.46,15750.17,13347.61,0,554.57,1037.69,0,428.57,0,2537.6,5712.74,858.56,0,2818.27,0,0,260.45,0,10245.73,0,0,121.07,7173.89,48439.37,0,3821.67,717,103833.13,0,29636.14,309.45,51278.6,5744.48,3587.63,0,0,0,76.07,0,3914.16,61.07,550.22,4935.62,122.25,8412.2,1320.22,0,268.5,8104.37,6490.59,1952.63,159.8,4948.24,0,406.72,5039.9,13893.44,0,309.49,0,2883.62,2575.72,0,1968.5,845.69,20533.84,309.11,42,43.5,1773.3,0,85.38,0,17327.77,0,0,28677.71,52262.27,0,46226.54,24.54,3655.63,6398.68,270,0,0,0,1038661.62
,,,FOOD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Food,0,0,445656.39,0,164098.12,31495.23,0,0,51753.09,334641.83,327.29,19473.34,0,0,0,96056.53,0,229925.26,0,0,0,57398.72,0,0,0,0,0,0,12000,0,0,0,0,0,0,0,1490.26,124813.53,0,746.97,943.51,0,600,7985.39,1050.81,0,0,0,0,138701.12,0,0,0,154301.93,139304.64,0,412.02,0,0,0,0,177576.64,0,65723.78,0,0,0,0,0,0,0,0,0,0,4389.79,222363.02,0,148571.46,0,184174.42,0,862.79,0,169979.81,49954.13,210830.12,6338.47,0,0,0,0,0,0,0,166044.98,0,88119.04,0,0,0,0,0,93572.78,0,16721.46,0,0,0,0,0,0,0,0,0,0,0,250,466.45,0,0,0,0,0,0,0,103770.15,0,0,182722.88,255652.75,0,208273.33,0,43164.51,7035.58,0,0,0,0,4419734.32
,,,Total FOOD.,,0,0,445656.39,0,164098.12,31495.23,0,0,51753.09,334641.83,327.29,19473.34,0,0,0,96056.53,0,229925.26,0,0,0,57398.72,0,0,0,0,0,0,12000,0,0,0,0,0,0,0,1490.26,124813.53,0,746.97,943.51,0,600,7985.39,1050.81,0,0,0,0,138701.12,0,0,0,154301.93,139304.64,0,412.02,0,0,0,0,177576.64,0,65723.78,0,0,0,0,0,0,0,0,0,0,4389.79,222363.02,0,148571.46,0,184174.42,0,862.79,0,169979.81,49954.13,210830.12,6338.47,0,0,0,0,0,0,0,166044.98,0,88119.04,0,0,0,0,0,93572.78,0,16721.46,0,0,0,0,0,0,0,0,0,0,0,250,466.45,0,0,0,0,0,0,0,103770.15,0,0,182722.88,255652.75,0,208273.33,0,43164.51,7035.58,0,0,0,0,4419734.32
,,,HOUSING  EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Furniture Lease,0,989.28,0,0,0,2817.27,3535.2,0,89973.63,0,8989.92,0,0,0,5122.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19243.35,0,0,0,0,0,0,0,0,0,0,0,102313.34,0,0,0,52332.57,14535.63,0,0,0,0,0,0,0,4443.12,2962.08,0,7122.51,0,0,0,0,0,0,0,0,0,13214.25,0,0,0,0,0,1978.56,0,0,7784.91,0,19784.79,0,0,0,0,15827.85,0,0,0,0,44616.15,0,0,0,0,0,3577.5,0,15544.53,0,0,0,0,0,0,0,0,9681.66,0,0,0,0,0,0,0,0,0,0,0,4946.22,0,0,31036.14,0,0,0,0,10331.55,0,0,0,0,0,492704.45
,,,,House,0,523.62,44271.87,0,6241.39,8935.19,92.37,56.19,3636.09,6482.49,0,1251.42,0,0,0,5174.29,0,26388.15,0,0,0,6201.3,65,0,844.61,0,748.44,2943.61,975.32,2907.56,6919.7,0,0,0,107.84,0,0,3144.42,2342.37,2055.77,0,10,1705.51,0,0,0,389.23,0,56.58,13175.44,0,124.26,0,3896.98,2092.95,0,214.86,0,0,0,0,2485.35,-3250,5579.99,0,1893.33,0,1305.58,0,0,2157.9,0,0,0,220.37,2023.42,0,4309.13,0,4290.24,0,5307.6,0,4024.22,11896.89,3864.82,2704.24,0,200,0,0,134.44,0,99.84,19536.59,4053.6,2395.13,0,0,0,4115.68,20359,1366.34,185.7,489.34,0,0,0,856.18,0,0,0,1654.16,2484.95,0,0,0,1001.1,0,0,193.8,0,0,0,0,2942.73,0,0,8399.13,3156.42,0,6602.76,0,2585.57,436.69,0,0,0,0,286037.05
,,,,Kitchen - Housing,0,0,0,0,2583.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2196.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8337.58,0,0,0,4345.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,731.88,0,0,0,72.71,0,0,0,1272,8136.4,0,340.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1553.32,0,1177.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16276,0,0,1658.21,0,0,0,0,0,0,0,45574.8
,,,,Laundry and Linens,0,0,0,0,0,0,0,0,63.04,266.84,0,0,0,0,0,348,0,596.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,2159.52,0,749.49,0,3071.68,0,0,0,839.87,0,2546.82,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,4041.31,0,0,282.1,7410.05,0,5476.52,0,0,0,0,0,0,0,28234.12
,,,Total HOUSING  EXPENSE,,0,1512.9,44271.87,0,8825.29,11752.46,3627.57,56.19,93672.76,6749.33,8989.92,1251.42,0,0,5122.44,5522.29,0,26985.03,0,0,0,6201.3,65,0,844.61,0,748.44,5140.27,975.32,2907.56,6919.7,0,0,0,107.84,0,0,22387.77,2342.37,2055.77,0,10,1705.51,0,0,0,389.23,0,56.58,123932.36,0,124.26,0,60575.06,16628.58,0,214.86,0,0,0,0,2527.35,1193.12,8542.07,0,9015.84,0,1305.58,0,0,2157.9,0,0,0,220.37,18129.07,0,5058.62,0,7434.63,0,7286.16,0,6136.09,27818.2,6411.64,22937.27,0,200,0,0,15962.29,0,99.84,19536.59,4053.6,47011.28,0,0,0,4115.68,20359,3390.52,185.7,17210.9,0,0,0,856.18,0,0,0,1654.16,12292.61,0,0,0,1001.1,0,0,193.8,0,0,0,0,11930.26,0,0,55993.37,10566.47,0,13737.49,0,12917.12,436.69,0,0,0,0,852550.42
,,,INSURANCE AND TAXES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Income Tax expense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.51,0,0,0,0,0,0,0,0,0,0,184.54
,,,,Insurance and Taxes,0,0,0,0,0,0,0,0,0,20932.06,0,-62031.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2315.54,0,0,0,0,0,0,0,0,0,0,0,3924.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-34859.13
,,,,Property Insurance,0,0,0,0,0,0,0,0,0,1873.48,0,824.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,703.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1717.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,933.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714.8,0,0,0,0,1028.16,0,0,0,0,0,18296
,,,,Property Taxes,0,4834.03,0,0,15468.74,0,0,0,8701.15,3975.89,0,6093.73,0,0,0,2591.43,0,0,0,0,0,0,0,0,901.68,11,0,0,0,0,0,186.17,0,0,24.55,0,0,21829.58,0,0,0,0,270.41,251.56,14.81,0,0,0,0,0,0,0,0,0,14090,0,0,0,0,0,0,22871.12,1182.56,0,0,0,0,4052.21,0,0,1088.88,0,0,1,599.72,35145.38,0,0,0,0,0,3374.04,0,0,24230.08,0,12000,0,0,0,0,5560.23,0,0,0,59.39,19542.29,0,0,0,0,27,93.76,0,13603.47,0,0,0,5224.76,0,0,0,0,4477.52,0,0,54.35,0,0,0,0,0,0,0,0,29782.34,0,0,0,0,0,0,5.81,8814.75,581.52,0,0,0,0,271616.91
,,,,Workers Comp Insurance,0,0,0,0,-185.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1071.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-98.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1355.69
,,,,INSURANCE AND TAXES - Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2231.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2231.05
,,,Total INSURANCE AND TAXES,,0,4834.03,0,0,15283.18,0,0,0,8701.15,26781.43,0,-55113.08,0,0,0,2591.43,0,0,0,0,0,0,0,0,901.68,11,0,0,0,0,0,186.17,0,0,24.55,0,0,22533.1,0,0,0,0,270.41,251.56,14.81,0,0,0,0,4546.59,0,0,0,0,14090,0,0,0,0,0,0,28513.67,1182.56,0,0,0,0,4052.21,0,0,1088.88,0,0,1,599.72,35145.38,0,0,0,0,0,3374.04,0,90.03,23158.81,0,22500,0,0,0,0,5560.23,0,0,0,59.39,19542.29,0,0,0,0,27,93.76,0,14537.04,0,0,0,5224.76,0,0,0,0,4378.66,0,0,54.35,0,0,0,0,0,0,0,0,29782.34,0,0,809.31,0,0,0,5.81,9842.91,581.52,0,0,0,0,256113.68
,,,INTEREST  EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Interest Expense,0,0,109460.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24638.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5124.66,0,0,0,0,0,0,0,0,10491.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149714.95
,,,Total INTEREST  EXPENSE,,0,0,109460.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24638.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5124.66,0,0,0,0,0,0,0,0,10491.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149714.95
,,,LANDSCAPING.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Grounds,0,2820.55,2936.56,0,4926.48,5985.85,0,0,2285,3867.64,0,2368.75,0,0,0,4465.8,0,2530,0,0,0,1375.35,0,0,2421,0,0,1820,0,0,0,0,0,0,0,0,0,1543,0,0,0,0,0,0,0,0,0,0,0,4913.05,0,0,0,4503,2763.75,0,0,0,0,0,0,5042.75,0,3360,0,0,0,550,0,0,0,0,0,0,0,4108.35,0,0,0,7022.09,0,4870,0,8244.66,4411.65,0,9625,0,0,0,0,2325,0,294.94,6012.5,0,2100,0,0,0,0,0,1550.04,0,3450,0,0,3135.65,1740,0,0,0,0,2210.07,0,0,0,0,0,0,0,0,0,0,0,1977.51,0,0,5150.92,9915.03,0,5147.08,0,0,0,0,0,0,0,143769.02
,,,Total LANDSCAPING.,,0,2820.55,2936.56,0,4926.48,5985.85,0,0,2285,3867.64,0,2368.75,0,0,0,4465.8,0,2530,0,0,0,1375.35,0,0,2421,0,0,1820,0,0,0,0,0,0,0,0,0,1543,0,0,0,0,0,0,0,0,0,0,0,4913.05,0,0,0,4503,2763.75,0,0,0,0,0,0,5042.75,0,3360,0,0,0,550,0,0,0,0,0,0,0,4108.35,0,0,0,7022.09,0,4870,0,8244.66,4411.65,0,9625,0,0,0,0,2325,0,294.94,6012.5,0,2100,0,0,0,0,0,1550.04,0,3450,0,0,3135.65,1740,0,0,0,0,2210.07,0,0,0,0,0,0,0,0,0,0,0,1977.51,0,0,5150.92,9915.03,0,5147.08,0,0,0,0,0,0,0,143769.02
,,,MAINTENANCE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
