Alpha Omicron Pi Corporations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:06 PM
,,,,House,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.6,0,0,0,0,0,0,0,461.6
,,,,Inspections,0,0,120,0,1631.44,0,0,0,307.67,4123,0,274,0,0,0,498,0,2143.66,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,967,0,0,0,407.02,1073.81,0,0,0,0,0,0,2109.62,0,0,0,0,0,0,0,0,0,0,0,0,0,1434.72,0,0,0,4484.71,0,219.33,0,693.25,2501.2,2208.5,0,0,0,0,0,705,0,0,1328,0,2478.81,0,0,0,0,0,1892.11,0,3401.95,0,0,0,0,0,0,0,0,310.5,0,0,0,0,0,0,0,0,0,0,0,3142.52,0,0,2559.62,1081.89,0,604.43,0,632.01,0,0,0,0,0,43557.77
,,,,Internet - Maintenance,0,0,0,0,0,190,0,0,4184.3,0,0,0,0,0,0,1425.43,0,2462.99,0,0,0,780,0,0,0,0,1550.94,0,0,0,0,0,0,0,0,0,0,725,0,0,0,0,0,0,0,0,0,0,0,999.7,0,0,0,5406.06,1640.4,0,0,0,0,0,0,1034,0,624.65,0,106.69,0,0,0,0,0,0,0,0,0,2859.04,0,0,0,0,0,0,0,2820,1506.4,0,0,0,0,0,0,0,0,0,1293.75,0,0,0,0,0,0,0,4816.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1446.72,0,0,210,0,0,0,0,0,0,0,0,0,0,36082.98
,,,,Maintenance Contracts,0,0,0,0,0,1650,0,0,0,1752.72,0,0,0,0,0,0,0,0,0,0,0,515.69,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.39,127.2,0,0,0,588.81,2417.35,0,0,0,0,0,0,0,0,493.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1473.39,0,256.68,0,504.8,0,2472,0,0,0,0,0,396,0,385.2,2123.52,0,1728,0,0,0,0,0,0,0,0,0,0,0,203.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1479.85,0,0,3789,7280.07,0,0,0,0,0,0,0,0,0,29838.45
,,,,Pest Control,0,250,45,0,295.38,894,0,0,320,1350,0,370,0,0,0,330,0,645,0,0,0,368.76,0,0,1035,0,0,980,0,0,0,0,0,0,0,0,0,647,0,0,0,0,0,225,0,0,0,0,0,550,0,0,0,532.08,433.35,0,0,270,0,0,0,525,386,477,0,0,0,796,308,0,0,0,0,0,0,597,0,0,0,1953.5,0,1323,0,250,712.62,525,224,0,0,0,0,395,0,0,833.24,0,490,0,0,0,0,0,296.8,0,643.38,0,0,0,362,0,0,0,0,407.64,0,0,0,0,0,0,0,0,0,0,0,2092.3,0,0,210,345.72,0,1418,0,540,675,0,0,0,0,26326.77
,,,,Repairs and Maintenance,0,1970.01,12360.11,0,12567.12,18427.02,0,0,15284.05,10915.28,0,61448.66,0,0,0,31118.66,0,27385.71,0,0,0,12549.54,0,0,858.15,0,0,7591.45,0,0,0,0,0,0,0,0,0,36878.75,0,0,0,0,0,-7074.7,0,0,0,0,0,29387.96,0,0,0,45649.07,31971.13,0,0,12658.87,0,0,0,12686.2,8832.37,4321.55,0,353.89,0,1834.2,0,0,0,0,0,0,0,19207.36,0,1983.46,0,29182.6,0,5486.69,0,17956.9,18492.82,14556.24,8024.68,0,0,0,0,2005.34,0,0,22474.26,0,41332.91,0,0,0,0,0,21384.62,0,8834.49,0,0,0,3646.71,0,3301.2,0,0,11211.01,0,0,0,1196.43,0,0,0,0,0,0,0,27238.64,0,0,31129.29,35399,0,51659.06,0,5743.4,0,0,0,0,0,771422.16
,,,Total MAINTENANCE.,,0,2220.01,12525.11,0,14493.94,21161.02,0,0,20096.02,18141,0,62092.66,0,0,0,33372.09,0,32637.36,0,0,0,14213.99,0,0,1893.15,0,1550.94,8911.45,0,0,0,0,0,0,0,0,0,38250.75,0,0,0,0,0,-6825.7,0,0,0,0,61.39,32031.86,0,0,0,52583.04,37536.04,0,0,12928.87,0,0,0,16354.82,9218.37,5916.58,0,460.58,0,2630.2,308,0,0,0,0,0,0,24098.12,0,1983.46,0,37094.2,0,7285.7,0,22224.95,23213.04,19761.74,8248.68,0,0,0,0,3501.34,0,385.2,28052.77,0,46029.72,0,0,0,0,0,28390.44,0,12879.82,0,0,0,4212.11,0,3301.2,0,0,11929.15,0,0,0,1196.43,0,0,0,0,0,0,0,35400.03,0,0,37897.91,44106.68,0,54143.09,0,6915.41,675,0,0,0,0,907689.73
,,,OTHER EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Bad Debt Expense - Corp Board,-39725.12,-3290.27,45567.33,593.97,2730.65,-850.73,-842.6,382.55,-13720.38,13452.4,225.38,197.39,143.28,114.63,50,107.33,7277.5,712.84,25,34.84,823.48,197.9,116.28,-550.84,2351.81,977.04,7544.24,1559.8,930.93,168.51,1309.6,528.74,164.53,5027.24,245.19,484.72,-1777.82,7573.36,352.02,428.19,27.47,102.31,-38.84,3755.57,-3213.62,-28.27,436.44,-48.48,-1581.45,31283.22,6731.5,758.68,773.37,-147.95,-149.51,342.06,1127.35,289.47,30.83,788.35,97.86,30794.88,2268.88,8121.51,-72.91,43.97,243.63,405.18,634.81,668.49,-3147.08,1624.74,8333.73,6366.75,188.26,1807.05,674.61,1302.09,1798.76,40608.45,180.83,1030.57,460.63,-74018.05,44872.88,-9140.62,1894.51,1241.75,-380.25,1188.89,36.78,-4574.41,57.23,-138.4,3126.57,906.02,-89.7,1046.96,965.95,335.79,409.82,1149.51,5698.52,396.48,-2589.55,-7.6,617.92,1961,5404.98,235.92,-54.68,1357.45,-188.71,-1789.98,-31.94,6621.04,-459.43,1850.22,303.66,58.86,703.84,847.17,842.23,32.67,1868.29,6451.19,-362.96,-170.13,9530.59,65029.39,145.39,-1266.32,85.26,18999.48,2673.19,0,0,0,0,280999.77
,,,,Manual transfer to/from Chapter,688.72,457.75,43176.79,33.71,1412.73,605.38,11.65,-3461.6,1147.18,4053.58,291.21,690.72,0,0,6.3,0,114.9,1456.42,33.32,19.2,112.32,0,0,45.02,318.52,25.98,-3400.94,133.34,99.2,72.8,256.68,0,14.55,396.24,9.36,0,158.96,0,14.38,82.75,4.5,35.31,21.43,0,0,11.21,18,17.26,118.63,1822.13,-3363.22,52.61,350.06,251.12,1489.85,33.61,33.45,214.34,20.45,70.12,49.48,1700.88,85.12,864.23,0,37.24,0,0,127.16,36.49,102.62,13.34,-8215.79,-3118.02,-2935.71,1146.64,216.71,194.41,33.93,3598.19,0,175.32,12.74,3637.52,1276.24,764.65,94.46,-1280,5.61,0,22.99,49.19,17.04,2.4,55.72,107.15,1452.9,127.72,49.59,39.13,57.68,0,0,10,686.92,28.11,40.39,297.4,253.12,6.56,0,72.41,0,157.01,0,301.68,28.26,0,23.41,0,60.32,23.45,21.54,4.5,20.34,0,19.57,36.43,1501.11,2662.31,78.24,0,0,1197.18,240.71,0,0,0,0,58653.92
,,,,Miscellaneous - Corp Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2150
,,,,Miscellaneous Expense,0,0,0,0,250,0,0,0,0,0,0,38.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535.97
,,,,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,0,0,0,0,3960.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7380.98
,,,,Ritual Supplies,1512,0,0,537.6,0,2688,0,537.6,0,403.2,0,0,0,0,0,3366.72,0,0,0,0,2419.2,90.5,0,940.8,0,1209.6,0,0,0,0,0,0,0,0,0,0,1344,0,0,1369.2,403.2,0,364,0,2889.6,0,0,0,0,0,0,403.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1075.2,0,0,0,0,5376,0,0,0,0,0,2419.2,0,0,0,0,0,0,0,739.2,168.3,0,0,672,0,0,0,0,268.8,2956.8,0,0,0,0,0,0,0,0,2688,0,0,0,0,0,672,0,0,0,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532,0,0,0,0,0,0,40565.92
,,,,Scholarships,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3200
,,,,Security,0,0,0,0,0,0,0,0,0,35606.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18116.16,0,0,0,0,0,0,0,0,752.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54475.26
,,,Total OTHER EXPENSE,,-37524.4,-2832.52,88744.12,1165.28,5893.38,2442.65,-830.95,-2541.45,-12573.2,53515.78,516.59,926.52,143.28,114.63,56.3,3474.05,7392.4,2169.26,58.32,54.04,3355,288.4,116.28,434.98,2670.33,2212.62,4143.3,1693.14,1030.13,241.31,1566.28,528.74,179.08,5423.48,254.55,484.72,-274.86,7573.36,366.4,4880.14,435.17,137.62,346.59,3755.57,-324.02,-17.06,454.44,-31.22,-1462.82,33055.35,3368.28,1214.49,1123.43,103.17,1340.34,375.67,1160.8,503.81,51.28,858.47,147.34,32495.76,2354,8985.74,-72.91,481.21,243.63,405.18,761.97,1780.18,-3044.46,1638.08,117.94,3248.73,2628.55,21069.85,891.32,1496.5,1832.69,44206.64,2600.03,2405.89,473.37,-68230.53,46901.62,-8375.97,2236.53,-38.25,364.56,1357.19,59.77,-4525.22,746.27,14,3182.29,1013.17,1363.2,1443.48,3972.34,374.92,467.5,1149.51,5698.52,826.48,-1902.63,20.51,658.31,4946.4,9619.08,242.48,-54.68,1429.86,-188.71,-960.97,-31.94,6922.72,-431.17,4370.22,327.07,58.86,764.16,870.62,863.77,37.17,1888.63,6451.19,-343.39,-133.7,11031.7,67691.7,223.63,-1266.32,617.26,20196.66,2913.9,0,0,0,0,447961.82
,,,PAYROLL EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cooks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22115.44,0,0,0,0,0,0,0,0,0,0,0,0,0,22115.44
,,,,Employee Insurance Expense,0,0,3266.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14187.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17492.6
,,,,House Director Payroll,0,0,24668.71,0,15758.48,0,0,0,0,3794.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9996.48,0,0,0,0,0,0,0,0,0,0,0,16916.97,0,0,0,0,0,0,0,0,0,0,0,0,0,71135.09
,,,,Houseboys/Waiters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12301.75,0,0,0,0,0,0,0,0,0,0,0,0,0,12301.75
,,,,Housekeeper,0,0,0,0,0,0,0,0,0,5512.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5512.5
,,,,Payroll Service Expense,0,0,0,0,1705.49,0,0,0,0,657.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732.05,0,0,0,0,0,0,0,0,0,0,0,4210.84,0,0,0,0,0,0,0,0,0,0,0,0,0,7306.26
,,,,Payroll Taxes,0,0,0,0,2003.86,0,0,0,0,788.14,0,0,0,0,0,0,0,6945.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,888.67,0,0,0,0,0,0,0,0,0,0,0,6150.4,0,0,0,0,0,0,0,0,0,0,0,0,0,16776.93
,,,,Retirement Contribution,0,0,4078.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4078.22
,,,,Social Security,0,0,1776.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1776.27
,,,,Workers Comp Insurance-Payroll,0,0,0,0,793.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790.92,0,0,0,0,0,0,0,0,0,0,0,1034.14,0,0,0,0,0,0,0,0,0,0,0,0,0,2619.02
,,,,PAYROLL EXPENSE - Other,0,7038.87,0,0,7194.87,20880,0,0,37637.45,33173.76,0,0,0,0,0,22806.87,0,38820.99,0,0,0,22668.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21267.56,0,0,0,0,0,0,0,0,0,0,0,130140.62,0,0,0,57630.91,20920.54,0,0,0,0,0,0,26271.99,0,25955.04,0,0,0,6992.28,0,0,0,0,0,0,0,38475.41,0,0,0,112496.77,0,11689.53,0,25707.8,35663.82,31346.01,0,0,0,0,0,0,0,0,23914.37,0,24156.88,0,0,0,0,0,19155.11,0,16260.66,0,0,0,0,0,0,0,0,4858.66,0,0,0,0,0,0,0,0,0,0,0,23617.54,0,0,27576.8,55443.96,0,32130.66,0,15745.72,0,0,0,0,38645.08,1016285.45
,,,Total PAYROLL EXPENSE,,0,7038.87,33790.01,0,27456.66,20880,0,0,37637.45,43926.73,0,0,0,0,0,22806.87,0,45766.85,0,0,0,22668.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21267.56,0,0,0,0,0,0,0,0,0,0,0,144327.77,0,0,0,57630.91,20920.54,0,0,0,0,0,0,26271.99,0,25955.04,0,0,0,6992.28,0,0,0,0,0,0,0,38475.41,0,0,0,112496.77,0,11689.53,0,25707.8,35663.82,31346.01,0,0,0,0,0,0,0,0,23914.37,0,24156.88,0,0,0,0,0,19155.11,0,16299.3,0,0,0,0,0,0,0,0,17266.78,0,0,0,0,0,0,0,0,0,0,0,86347.08,0,0,27576.8,55443.96,0,32130.66,0,15745.72,0,0,0,0,38645.08,1177399.53
,,,PROFESSIONAL AND ADMIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Accounting/Billhighway fees/Mem,0,0,180,0,180,180,0,0,180,0,0,0,0,0,0,180,0,180,0,0,0,180,0,0,180,0,180,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,180,0,0,0,0,0,180,0,0,0,180,180,0,0,0,0,0,0,180,0,180,0,0,0,180,0,0,0,0,0,0,0,180,0,0,0,180,0,180,0,0,180,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,180,0,180,0,0,0,180,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,180,0,180,0,180,0,0,0,0,0,5400
,,,,Bank Charges/Credit Card Fees,-88.43,1496.51,36644.55,105.57,6908.14,3092.95,262.48,108.88,5310.35,18493.41,114.59,3137.74,-33.28,-14.19,280.83,-472.73,1030.22,18060.31,37.84,277.09,603.64,-635.41,-46.54,105.2,2021.61,186,39.84,912.1,1088.37,258.76,1864.82,-96.14,64.5,2338.75,265.99,-64.72,110.92,-423.6,290.58,732.47,44.03,475.21,253.13,-122.32,-44.21,32.94,187.36,494.73,607.08,15254.96,203.92,384.53,926.04,1968.84,6712.25,200.95,217.71,592.89,104.44,27.96,530.85,7653.36,991.92,4083.22,-12.34,277.38,-25.6,-248.34,193.54,129.57,1165.76,382.44,520.13,67.95,1299.81,7352.57,602.88,4544.26,226.23,21389.27,-69.36,1757.27,336.1,4462.44,5457.28,5252.93,2172.85,451.69,83.31,-72.15,163.08,590.6,218.1,162.22,89.91,523.14,9146.98,319.67,459.97,273.4,775.89,-67.03,-510.66,69.28,2465.19,113.26,453.92,566.04,1475.96,65.72,-36.07,298.83,-32.6,1663.18,-25.6,4117.25,160.08,-70.54,90.14,15.14,356.99,277.53,103.45,-8.53,65.39,-480.39,97.61,78.47,10403.53,17183.18,-93.81,-537.18,-62.38,5777.96,2145.41,0,0,0,0,262691.31
,,,,Legal Fees,0,0,0,0,10,0,0,0,0,20.47,0,50,0,0,20.47,302.47,0,22,0,0,0,0,0,0,0,20.47,20.47,0,0,0,0,20.47,20.47,0,20.47,20.47,20.47,0,20.47,20.47,20.47,0,20.47,0,20.47,20.47,20.47,0,20.47,0,20.47,20.47,20.47,0,0,20.47,20.47,20.47,20.47,20.47,20.47,0,20.47,20.47,20.47,0,20.47,0,20.47,20.47,40.47,20.47,0,20.47,20.47,0,20.47,20.47,20.47,0,20.47,20.47,0,20.47,0,20.47,20,0,0,20.47,20.47,4116.96,20.47,20.47,0,20.47,0,20.47,20.47,20.47,20.47,20.47,25,20.47,0,0,20.47,20.47,0,20.47,20.47,0,0,0,20.47,0,20.47,0,20.47,20.47,20.47,20.47,20.47,0,0,20.47,20.47,20.47,0,0,20.47,0,0,0,20.47,0,0,0,0,5999.33
,,,,Licenses and Permits,0,50,630,0,210,0,0,0,92,0,0,0,0,0,0,0,0,120,0,0,0,948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1402.02,0,0,0,0,0,0,0,0,0,0,0,1347,0,0,0,1570,0,0,0,0,0,0,0,0,0,0,0,0,0,428.8,0,0,1200,0,0,0,0,0,0,0,0,425,0,544,0,24,1836,100,0,0,0,0,0,0,0,0,0,0,580,0,0,0,0,0,2087.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,947,0,0,350,2193.7,0,88,0,5,0,0,0,0,0,17178.2
,,,,Postage expense,0,0,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,47,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.85
